"","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","355 450_50-A","405 450_50-A","405 525_50-A","405 610_20-A","405 660_20-A","405 710_50-A","405 780_60-A","488 530_30-A","488 710_50-A","561 586_15-A","561 610_20-A","561 780_60-A","640 670_14-A","640 730_45-A","640 780_60-A","Time"
"1",79447.140625,72820,71500.25,43642.421875,40086,71350.34375,590.940002441406,278.070007324219,539.400024414062,361.769989013672,1593.08996582031,1939.97998046875,792.359985351562,3971.47998046875,656.179992675781,145.790008544922,142.740005493164,116.51000213623,416.5,1252.93005371094,306.740020751953,57.9001541137695
"2",42694.30078125,37188,75239.6953125,13191.5400390625,12370,69888.5078125,377.300018310547,278.070007324219,298.529998779297,294.809997558594,758.880004882812,358.980010986328,186,3944.82006835938,147.919998168945,109.190002441406,87.8400039672852,44.5300025939941,245.490005493164,700.700012207031,269.010009765625,59.479248046875
"3",63430.58203125,58652,70875.4453125,19701.740234375,18346,70379.0078125,185.220001220703,266.910003662109,260.399993896484,220.410003662109,539.400024414062,791.429992675781,299.459991455078,2340.919921875,257.140014648438,130.540008544922,93.3300018310547,42.0900001525879,133.770004272461,416.010009765625,103.880004882812,59.5845222473145
"4",24820.33984375,23543,69091.6953125,42049.69921875,37765,72971.5078125,442.960021972656,137.639999389648,305.970001220703,249.240005493164,114.389999389648,151.589996337891,1405.22998046875,2014.97998046875,188.339996337891,12.8100004196167,32.3300018310547,61,119.560005187988,438.059997558594,187.18000793457,59.9003448486328
"5",48533.640625,44432,71585.8125,20030.259765625,18470,71072.171875,84.2799987792969,38.1300010681152,152.520004272461,66.0299987792969,28.8299999237061,33.4799995422363,22.3199996948242,1738.06005859375,33.5400009155273,50.6300010681152,9.76000022888184,43.9200019836426,-7.35000038146973,563.989990234375,143.080001831055,59.9003448486328
"6",47057.33984375,41325,74626.734375,13882.1201171875,12899,70530.9453125,153.860000610352,116.25,285.510009765625,33.4799995422363,24.1800003051758,132.990005493164,4565.3701171875,3476.97998046875,102.340003967285,1.83000004291534,18.3000011444092,115.290000915527,46.060001373291,1058.89001464844,616.419982910156,60.531982421875
"7",38362.33984375,32352,77711.25,26131.9609375,23026,74376.109375,206.779998779297,182.279998779297,252.029998779297,5971.5302734375,2122.26000976562,1660.05004882812,872.340026855469,1162.71997070312,396.459991455078,777.75,1840.98010253906,140.910003662109,305.27001953125,765.869995117188,298.410003662109,60.9530754089355
"8",29739.12109375,27680,70411.2421875,37614.6796875,34754,70930.4140625,606.619995117188,318.059997558594,476.160003662109,504.989990234375,1701.90002441406,1723.2900390625,586.830017089844,6577.2802734375,477.300018310547,126.270004272461,43.9200019836426,43.310001373291,437.570007324219,1176.48999023438,290.080017089844,61.0583419799805
"9",45077.83984375,41037,71989.2109375,23673.220703125,20931,74122.03125,228.34001159668,175.770004272461,277.140014648438,855.600036621094,932.789978027344,1976.25,769.109985351562,2419.17993164062,649.299987792969,107.360000610352,260.470001220703,114.680000305176,197.470001220703,1095.15002441406,370.440002441406,61.3741645812988
"10",50323.69921875,45060,73191.6171875,33116.01953125,28006,77493.8046875,546.840026855469,154.380004882812,361.769989013672,463.140014648438,1198.77001953125,1873.95007324219,758.880004882812,2776.93994140625,485.040008544922,35.9900016784668,67.7099990844727,90.8899993896484,315.070007324219,915.809997558594,269.010009765625,61.9005279541016
"11",56131.22265625,50484,72866.9609375,19585.640625,17474,73455.6796875,196,219.479995727539,270.630004882812,746.789978027344,146.009994506836,2044.14001464844,6722.0400390625,2113.88012695312,588.239990234375,158.600006103516,249.490005493164,159.210006713867,76.9300003051758,747.25,718.830017089844,62.3216209411621
"12",51004.5,45298,73792.0234375,25662.400390625,23508,71542.0703125,145.040008544922,45.5699996948242,181.350006103516,359.910003662109,713.309997558594,942.090026855469,470.580017089844,1067.26000976562,184.040008544922,72.5900039672852,59.7800025939941,67.0999984741211,174.440002441406,331.240020751953,120.540000915527,62.532169342041
"13",58457.0390625,52745,72633.25,32310.201171875,29235,72429.671875,180.320007324219,152.520004272461,209.25,424.080017089844,1078.80004882812,1395.93005371094,544.97998046875,1440.5,357.760009765625,41.4799995422363,53.6800003051758,65.8800048828125,223.93000793457,897.679992675781,318.5,62.9532585144043
"14",61109.94140625,56833,70467.875,23762.66015625,22154,70294.75,164.639999389648,197.160003662109,325.5,125.550003051758,87.4199981689453,361.769989013672,6558.35986328125,3757.34008789062,417.100006103516,35.9900016784668,33.5499992370605,172.630004882812,24.5,231.279998779297,522.830017089844,63.0585327148438
"15",35941.80078125,31399,75017.7421875,22815.80078125,20513,72893.1171875,201.880004882812,89.2799987792969,271.559997558594,515.220031738281,1071.35998535156,1265.72998046875,522.660034179688,2804.4599609375,477.300018310547,783.850036621094,247.660003662109,82.9599990844727,338.589996337891,781.549987792969,253.820007324219,64.005989074707
"16",56672.90234375,49891,74444.6015625,21754.560546875,20801,68540.3046875,294,46.5,238.080001831055,286.440002441406,632.400024414062,378.510009765625,123.690002441406,4110.80029296875,120.400001525879,41.4799995422363,81.1300048828125,55.5100021362305,124.950004577637,1021.16003417969,230.790008544922,64.2165374755859
"17",61266.8203125,57312,70058.3203125,31869.880859375,28230,73985.9921875,192.080001831055,150.660003662109,255.75,399.899993896484,1409.88000488281,2239.43994140625,991.380004882812,1897.16003417969,877.200012207031,74.4199981689453,81.7400054931641,55.5100021362305,471.869995117188,1433.73999023438,375.339996337891,64.3218078613281
